,length,commissioning_year,underground,v_nom,tags,bus0,bus1,geometry
2,131.0,2022,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/1"", ""tyndp2020_proj_id""=>""1"", ""tyndp2020_invest_id""=>""4"", ""tyndp_status""=>""in_permitting""",2887,1727,"LINESTRING (-7.793621146853301 41.52102394053344, -8.38943499999999 40.95916)"
4,30.0,2022,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/4"", ""tyndp2020_proj_id""=>""4"", ""tyndp2020_invest_id""=>""18"", ""tyndp_status""=>""in_permitting""",2854,2861,"LINESTRING (-8.273869552394737 42.46748640601422, -7.94998199999999 42.383908)"
5,140.21,2022,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/4"", ""tyndp2020_proj_id""=>""4"", ""tyndp2020_invest_id""=>""496"", ""tyndp_status""=>""in_permitting""",2861,2811,"LINESTRING (-7.94998199999999 42.383908, -8.582626164089064 41.764651842353146)"
6,140.21,2022,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/4"", ""tyndp2020_proj_id""=>""4"", ""tyndp2020_invest_id""=>""496"", ""tyndp_status""=>""in_permitting""",2811,8734,"LINESTRING (-8.582626164089064 41.764651842353146, -8.67645299999999 41.303603)"
10,23.0,2022,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/23"", ""tyndp2020_proj_id""=>""23"", ""tyndp2020_invest_id""=>""60"", ""tyndp_status""=>""under_construction""",5118,5075,"LINESTRING (3.08990499999999 50.50906, 3.429108 50.773813)"
12,26.0,2023,False,220.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/26"", ""tyndp2020_proj_id""=>""26"", ""tyndp2020_invest_id""=>""614"", ""tyndp_status""=>""under_construction""",8736,8736,"LINESTRING (10.465851 46.8808455082082, 10.465851 46.8808455082082)"
15,80.0,2023,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/33"", ""tyndp2020_proj_id""=>""33"", ""tyndp2020_invest_id""=>""90"", ""tyndp_status""=>""in_permitting""",2374,8266,"LINESTRING (11.126404 43.872158, 11.413422 44.580687)"
16,350.0,2026,False,220.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/33"", ""tyndp2020_proj_id""=>""33"", ""tyndp2020_invest_id""=>""1041"", ""tyndp_status""=>""planned_not_yet_permitting""",2258,8395,"LINESTRING (14.028168 42.409263, 13.345642 42.426498)"
17,120.5,2026,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/35"", ""tyndp2020_proj_id""=>""35"", ""tyndp2020_invest_id""=>""313"", ""tyndp_status""=>""in_permitting""",4662,4673,"LINESTRING (14.3524 49.1584, 15.687103 49.531448)"
18,117.0,2028,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/35"", ""tyndp2020_proj_id""=>""35"", ""tyndp2020_invest_id""=>""315"", ""tyndp_status""=>""in_permitting""",4662,4615,"LINESTRING (14.3524 49.1584, 13.282471 49.60804)"
19,24.0,2020,True,150.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/36"", ""tyndp2020_proj_id""=>""36"", ""tyndp2020_invest_id""=>""141"", ""tyndp_status""=>""under_construction""",5657,5683,"LINESTRING (12.311554 55.670615, 12.271729 54.068253)"
21,110.0,2020,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/39"", ""tyndp2020_proj_id""=>""39"", ""tyndp2020_invest_id""=>""144"", ""tyndp_status""=>""under_construction""",5832,5820,"LINESTRING (9.75860599999998 54.306108, 9.29580699999999 55.075223)"
22,157.0,2027,False,380.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/47"", ""tyndp2020_proj_id""=>""47"", ""tyndp2020_invest_id""=>""689"", ""tyndp_status""=>""planned_not_yet_permitting""",8490,3813,"LINESTRING (10.06485 48.282279, 10.897064 47.236355)"
23,110.0,2020,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/48"", ""tyndp2020_proj_id""=>""48"", ""tyndp2020_invest_id""=>""1500"", ""tyndp_status""=>""under_construction""",3282,3284,"LINESTRING (17.539673 47.882276, 17.786865 47.653363)"
24,110.0,2020,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/48"", ""tyndp2020_proj_id""=>""48"", ""tyndp2020_invest_id""=>""1500"", ""tyndp_status""=>""under_construction""",3282,8615,"LINESTRING (17.539673 47.882276, 18.540802 48.236565)"
25,48.0,2020,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/48"", ""tyndp2020_proj_id""=>""48"", ""tyndp2020_invest_id""=>""1501"", ""tyndp_status""=>""under_construction""",3324,3327,"LINESTRING (19.958038 48.380882, 20.55954 48.263084)"
29,60.0,2024,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/78"", ""tyndp2020_proj_id""=>""78"", ""tyndp2020_invest_id""=>""458"", ""tyndp_status""=>""in_permitting""",5201,5224,"LINESTRING (-3.21075400000001 51.135416, -2.633972 51.533523)"
30,138.0,2023,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/81"", ""tyndp2020_proj_id""=>""81"", ""tyndp2020_invest_id""=>""462"", ""tyndp_status""=>""in_permitting""",6085,6068,"LINESTRING (-6.61376999999999 53.441446, -6.65496799999999 54.509921)"
32,83.0,2030,False,275.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/82"", ""tyndp2020_proj_id""=>""82"", ""tyndp2020_invest_id""=>""463"", ""tyndp_status""=>""planned_not_yet_permitting""",6063,8865,"LINESTRING (-8.41964699999999 54.209042, -8.0041 54.6773)"
34,58.0,2030,False,275.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/82"", ""tyndp2020_proj_id""=>""82"", ""tyndp2020_invest_id""=>""896"", ""tyndp_status""=>""planned_not_yet_permitting""",8865,8864,"LINESTRING (-8.0041 54.6773, -7.2811 54.5781)"
35,61.0,2030,False,275.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/82"", ""tyndp2020_proj_id""=>""82"", ""tyndp2020_invest_id""=>""897"", ""tyndp_status""=>""planned_not_yet_permitting""",8864,6068,"LINESTRING (-7.2811 54.5781, -6.65496799999999 54.509921)"
37,61.0,2023,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/85"", ""tyndp2020_proj_id""=>""85"", ""tyndp2020_invest_id""=>""779"", ""tyndp_status""=>""planned_not_yet_permitting""",1782,8867,"LINESTRING (-8.046112 38.05458, -8.1897 37.6672)"
38,61.0,2023,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/85"", ""tyndp2020_proj_id""=>""85"", ""tyndp2020_invest_id""=>""779"", ""tyndp_status""=>""planned_not_yet_permitting""",8867,1787,"LINESTRING (-8.1897 37.6672, -7.73025499999999 37.397437)"
39,75.0,2023,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/85"", ""tyndp2020_proj_id""=>""85"", ""tyndp2020_invest_id""=>""1670"", ""tyndp_status""=>""planned_not_yet_permitting""",1783,1781,"LINESTRING (-7.55310100000001 38.17991, -7.89230299999999 38.808681)"
